X1,TCXO,hardwareRev1:FOX924B,,,,Datasheet
U3,RF5110G,w_smd_qfn:qfn-16,DOCUMENTATION,,,
U2,PE42424,hardwareRev1:PE4242,DOCUMENTATION,,,
RF1,DRA818,hardwareRev1:RFModuleOutline,,,,
C3,C,Capacitors_SMD:C_0402,,,,
C4,C,Capacitors_SMD:C_0402,,,,
C2,C,Capacitors_SMD:C_0402,,,,
C1,C,Capacitors_SMD:C_0402,,,,
C28,C,Capacitors_SMD:C_0402,,,,
U1,AX503,w_smd_qfn:qfn-28,DOCUMENTATION,,,
L12,8.2nH,Resistors_SMD:R_0402,,,,
L7,68nH,Resistors_SMD:R_0402,,,,
L6,68nH,Resistors_SMD:R_0402,,,,
L1,60nh,Resistors_SMD:R_0402,,,,
C32,56pf,Capacitors_SMD:C_0402,,,,
C15,47pf,Capacitors_SMD:C_0402,,,,
C25,47pf,Capacitors_SMD:C_0402,,,,
L11,47nH,Resistors_SMD:R_0402,,,,
C14,4.7pf,Capacitors_SMD:C_0402,,,,
L10,39nH,Resistors_SMD:R_0402,,,,
C13,33pf,Capacitors_SMD:C_0402,,,,
L13,33nH,Resistors_SMD:R_1206,,,,
C29,3.3uf,Capacitors_SMD:C_1206,,,,
C30,3.3uf,Capacitors_SMD:C_1206,,,,
C22,27pf,Capacitors_SMD:C_0402,,,,
C24,27pf,Capacitors_SMD:C_0402,,,,
C12,22pf,Capacitors_SMD:C_0402,,,,
C11,2.2pf,Capacitors_SMD:C_0402,,,,
L14,1uH,Resistors_SMD:R_0402,,,,
C34,1uf,Capacitors_SMD:C_0402,,,,
C21,1nf,Capacitors_SMD:C_0402,,,,
C26,1nf,Capacitors_SMD:C_0402,,,,
C18,1nf,Capacitors_SMD:C_0402,,,,
C31,1nf,Capacitors_SMD:C_0402,,,,
C20,15pf,Capacitors_SMD:C_0402,,,,
L15,15nH,Resistors_SMD:R_0402,,,,
L2,150nH,Resistors_SMD:R_0402,,,,
L3,150nH,Resistors_SMD:R_0402,,,,
L8,150nh,Resistors_SMD:R_0402,,,,
C10,12pf,Capacitors_SMD:C_0402,,,,
C9,12pf,Capacitors_SMD:C_0402,,,,
L4,120nH,Resistors_SMD:R_0402,,,,
L5,120nH,Resistors_SMD:R_0402,,,,
L9,120nH,Resistors_SMD:R_0402,,,,
C5,10pf,Capacitors_SMD:C_0402,,,,
C6,10pf,Capacitors_SMD:C_0402,,,,
C8,10pf,Capacitors_SMD:C_0402,,,,
C7,10pf,Capacitors_SMD:C_0402,,,,
C19,10nf,Capacitors_SMD:C_0402,,,,
C27,10nf,Capacitors_SMD:C_0402,,,,
C17,10nf,Capacitors_SMD:C_0402,,,,
C35,100pf,Capacitors_SMD:C_0402,,,,
C23,100pf,Capacitors_SMD:C_0402,,,,
C33,100pf,Capacitors_SMD:C_0402,,,,
C16,1.8pf,Capacitors_SMD:C_0402,,,,
R1,180,Resistors_SMD:R_0402,,,,
Reference,,Value,,Footprint,,
